Table ID,Table Title,Table Universe,Data Product Type,Year,'1-year Published Summary Levels'!A1,'5-year Published Summary Levels'!A1
B10050,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY LENGTH OF TIME RESPONSIBLE FOR OWN GRANDCHILDREN FOR THE POPULATION 30 YEARS AND OVER ,Population 30 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY PRESENCE OF PARENT OF GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years in households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051A,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (WHITE ALONE),Grandparents (White alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051B,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (BLACK OR AFRICAN AMERICAN ALONE),Grandparents (Black or African American alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051C,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Grandparents (American Indian and Alaska Native alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051D,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (ASIAN ALONE),Grandparents (Asian alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Grandparents (Native Hawaiian and Other Pacific Islander alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051F,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (SOME OTHER RACE ALONE),Grandparents (Some other race alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051G,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (TWO OR MORE RACES),Grandparents (Two or more races) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051H,"GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (WHITE ALONE, NOT HISPANIC OR LATINO)","Grandparents (White alone, not Hispanic or Latino) living with own grandchildren under 18 years",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051I,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (HISPANIC OR LATINO),Grandparents (Hispanic or Latino) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10052,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Civilian grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10053,NATIVITY BY GRANDPARENTS RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS BY AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10054,LANGUAGE AND ABILITY TO SPEAK ENGLISH OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10056,SEX OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10057,MARITAL STATUS BY GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10058,EMPLOYMENT STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10059,POVERTY STATUS IN THE PAST 12 MONTHS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years for whom poverty status is determined,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10063,HOUSEHOLDS WITH GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN,Households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B11001,HOUSEHOLD TYPE (INCLUDING LIVING ALONE),Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001A,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE),Households with a householder who is White alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001B,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),Households with a householder who is Black or African American alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001C,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Households with a householder who is American Indian and Alaska Native alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001D,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (ASIAN ALONE),Households with a householder who is Asian alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Households with a householder who is Native Hawaiian and Other Pacific Islander alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001F,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (SOME OTHER RACE ALONE),Households with a householder who is Some Other Race alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001G,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (TWO OR MORE RACES),Households with a householder who is Two or More Races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001H,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE, NOT HISPANIC OR LATINO)","Households with a householder who is White alone, not Hispanic or Latino",Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001I,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (HISPANIC OR LATINO),Households with a householder who is Hispanic or Latino,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS,Population in households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002A,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE),Population in households with a householder who is White alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002B,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),Population in households with a householder who is Black or African American alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002C,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Population in households with a householder who is American Indian and Alaska Native alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002D,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE),Population in households with a householder who is Asian alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Population in households with a householder who is Native Hawaiian and Other Pacific Islander alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002F,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (SOME OTHER RACE ALONE),Population in households with a householder who is Some Other Race alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002G,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (TWO OR MORE RACES),Population in households with a householder who is Two or More Races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002H,"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE, NOT HISPANIC OR LATINO)","Population in households with a householder who is White alone, not Hispanic or Latino",Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002I,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (HISPANIC OR LATINO),Population in households with a householder who is Hispanic or Latino,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11003,FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS ,Families,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11004,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Families,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11005,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11006,HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11007,"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE",Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11008,COHABITING COUPLE HOUSEHOLDS BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11009,COUPLED HOUSEHOLDS BY TYPE,Households,Detailed Table,"1,5","United States (010), Region (020), Division (030), State (040)","United States (010), Region (020), Division (030), State (040)"
B11010,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,Nonfamily households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B11011,HOUSEHOLD TYPE BY UNITS IN STRUCTURE,Households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B11012,HOUSEHOLDS BY TYPE,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11013,SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Subfamilies,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B11014,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE BY RELATIONSHIP,Population in subfamilies,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B11015,HOUSEHOLDS BY PRESENCE OF NONRELATIVES,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11016,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11017,MULTIGENERATIONAL HOUSEHOLDS,Households,Detailed Table,"1,5","United States (010), State (040)","United States (010), State (040)"
B12001,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B12002,SEX BY MARITAL STATUS BY AGE FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12002A,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE),White alone population 15 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12002B,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone population 15 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12002C,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone population 15 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12002D,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (ASIAN ALONE),Asian alone population 15 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12002E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and Other Pacific Islander alone population 15 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12002F,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (SOME OTHER RACE ALONE),Some other race alone population 15 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12002G,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (TWO OR MORE RACES),Two or more races population 15 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12002H,"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population 15 years and over",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12002I,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (HISPANIC OR LATINO),Hispanic or Latino population 15 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12006,MARITAL STATUS BY SEX BY LABOR FORCE PARTICIPATION,Population 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B12007,MEDIAN AGE AT FIRST MARRIAGE,Population 15 to 54 years,Detailed Table,"1,5","United States (010), Region (020), Division (030), State (040), Congressional District (500)","United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B12007A,MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE),White alone population 15 to 54 years,Detailed Table,"1,5","United States (010), Region (020)","United States (010), Region (020)"
B12007B,MEDIAN AGE AT FIRST MARRIAGE (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone population 15 to 54 years,Detailed Table,"1,5","United States (010), Region (020)","United States (010), Region (020)"
B12007C,MEDIAN AGE AT FIRST MARRIAGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone population 15 to 54 years,Detailed Table,"1,5","United States (010), Region (020)","United States (010), Region (020)"
B12007D,MEDIAN AGE AT FIRST MARRIAGE (ASIAN ALONE),Asian alone population 15 to 54 years,Detailed Table,"1,5","United States (010), Region (020)","United States (010), Region (020)"
B12007E,MEDIAN AGE AT FIRST MARRIAGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and Other Pacific Islander alone population 15 to 54 years,Detailed Table,"1,5","United States (010), Region (020)","United States (010), Region (020)"
B12007F,MEDIAN AGE AT FIRST MARRIAGE (SOME OTHER RACE ALONE),Some other race alone population 15 to 54 years,Detailed Table,"1,5","United States (010), Region (020)","United States (010), Region (020)"
B12007G,MEDIAN AGE AT FIRST MARRIAGE (TWO OR MORE RACES),Two or more races population 15 to 54 years,Detailed Table,"1,5","United States (010), Region (020)","United States (010), Region (020)"
B12007H,"MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population 15 to 54 years",Detailed Table,"1,5","United States (010), Region (020)","United States (010), Region (020)"
B12007I,MEDIAN AGE AT FIRST MARRIAGE (HISPANIC OR LATINO),Hispanic or Latino population 15 to 54 years,Detailed Table,"1,5","United States (010), Region (020)","United States (010), Region (020)"
B12501,MARRIAGES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over,Detailed Table,"1,5","United States (010), Region (020), Division (030), State (040), Congressional District (500)","United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B12502,MARRIAGES ENDING IN WIDOWHOOD IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,Population 15 years and over,Detailed Table,"1,5","United States (010), Region (020), Division (030), State (040), Congressional District (500)","United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B12503,DIVORCES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over,Detailed Table,"1,5","United States (010), Region (020), Division (030), State (040), Congressional District (500)","United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B12504,MEDIAN DURATION OF CURRENT MARRIAGE IN YEARS BY SEX BY MARITAL STATUS FOR THE MARRIED POPULATION 15 YEARS AND OVER,Population 15 years and over who are now married or separated,Detailed Table,"1,5","United States (010), Region (020), Division (030), State (040), Congressional District (500)","United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B12505,NUMBER OF TIMES MARRIED BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over,Detailed Table,"1,5","United States (010), Region (020), Division (030), State (040), Congressional District (500)","United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B13002,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE,Women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13002A,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE),White alone women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13002B,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13002C,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13002D,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (ASIAN ALONE),Asian alone women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13002E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and other Pacific Islander alone women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13002F,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (SOME OTHER RACE ALONE),Some other race alone women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13002G,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (TWO OR MORE RACES),Two or more races women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13002H,"WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino women 15 to 50 years",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13002I,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO),Hispanic or Latino women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13004,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY PRESENCE OF SPOUSE OR UNMARRIED PARTNER,Women 15 to 50 years in households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13008,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND NATIVITY,Women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13010,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND POVERTY STATUS IN THE PAST 12 MONTHS,Women 15 to 50 years for whom poverty status is determined,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13012,WOMEN 16 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND LABOR FORCE STATUS,Women 16 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13014,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND EDUCATIONAL ATTAINMENT,Women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13015,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND RECEIPT OF PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS,Women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B13016,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY AGE,Women 15 to 50 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B14001,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Population 3 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B14002,SEX BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Population 3 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B14003,SEX BY SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 3 YEARS AND OVER,Population 3 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B14004,SEX BY COLLEGE OR GRADUATE SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B14005,SEX BY SCHOOL ENROLLMENT BY EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 16 TO 19 YEARS,Population 16 to 19 years,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B14006,POVERTY STATUS IN THE PAST 12 MONTHS BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Population 3 years and over for whom poverty status is determined,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B14007,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Population 3 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B14007A,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE),White alone population 3 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B14007B,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone population 3 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B14007C,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone population 3 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B14007D,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (ASIAN ALONE),Asian alone population 3 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B14007E,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and Other Pacific Islander alone population 3 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B14007F,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (SOME OTHER RACE ALONE),Some other race alone population 3 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
